file_name,trackName,Key,Bpm
spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8_other_looped_segment.wav,spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8,,82.84
spotify-track-2NHBZeMhIlP9GXHYVWHKjI_fade_in.mp3,spotify-track-2NHBZeMhIlP9GXHYVWHKjI,,99.19
spotify-track-01rVVCdnNxpr7NgdIagICL_fade_in.mp3,spotify-track-01rVVCdnNxpr7NgdIagICL,,84.88
spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8_fade_out.mp3,spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8,,82.84
spotify-track-2yNzGnCEoATsZfnRuz1ucq_looped_segment.wav,spotify-track-2yNzGnCEoATsZfnRuz1ucq,,0.0
spotify-track-1gS12Y7zd3sWjVEVXi07EN_fade_out.mp3,spotify-track-1gS12Y7zd3sWjVEVXi07EN,,
spotify-track-2nwHN5TM4OBdrwCUSx0wnE_looped_segment.wav,spotify-track-2nwHN5TM4OBdrwCUSx0wnE,,92.0
spotify-track-0lCVzecQJrzrig2sJkTj6g_drums_looped_segment.wav,spotify-track-0lCVzecQJrzrig2sJkTj6g,,91.99
spotify-track-0O8zNbJNEDg9x3S0hZvRMu_bass_looped_segment.wav,spotify-track-0O8zNbJNEDg9x3S0hZvRMu,,83.96
spotify-track-2Adg6787i6N1YIqGzWOchz_fade_in.mp3,spotify-track-2Adg6787i6N1YIqGzWOchz,,92.75
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_vocals_looped_segment.wav,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-1ZQDcinQVwSTSAIy6bU0DK_fade_in.mp3,spotify-track-1ZQDcinQVwSTSAIy6bU0DK,,97.09
spotify-track-0PTEI0crqAI5I2F61FeJ6U_other_looped_segment.wav,spotify-track-0PTEI0crqAI5I2F61FeJ6U,,86.0
spotify-track-0k5Nh4iu6jb91GyvqUZJC1_looped_segment.wav,spotify-track-0k5Nh4iu6jb91GyvqUZJC1,,86.0
spotify-track-0lCVzecQJrzrig2sJkTj6g_fade_in.mp3,spotify-track-0lCVzecQJrzrig2sJkTj6g,,91.99
spotify-track-0lCVzecQJrzrig2sJkTj6g_vocals_looped_segment.wav,spotify-track-0lCVzecQJrzrig2sJkTj6g,,91.99
spotify-track-1ZQDcinQVwSTSAIy6bU0DK_looped_segment.wav,spotify-track-1ZQDcinQVwSTSAIy6bU0DK,,97.09
spotify-track-0N5qTofETElfJvRvpF3Mk6_bass_looped_segment.wav,spotify-track-0N5qTofETElfJvRvpF3Mk6,,88.0
spotify-track-2nwHN5TM4OBdrwCUSx0wnE_fade_in.mp3,spotify-track-2nwHN5TM4OBdrwCUSx0wnE,,92.0
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_fade_out.mp3,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-0N5qTofETElfJvRvpF3Mk6_fade_in.mp3,spotify-track-0N5qTofETElfJvRvpF3Mk6,,88.0
