TrackID,Name,Artist,Album,Genre,Location,AverageBpm,Key
203777666,spotify-track-5M6bJO7Cfl4lnPoAHG0EdD,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5M6bJO7Cfl4lnPoAHG0EdD.mp3,0.0,
205944479,spotify-track-5o0glVq9Niji0uAFnr9Jnz,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5o0glVq9Niji0uAFnr9Jnz.mp3,0.0,
118791508,spotify-track-5opgQuq0KvuQeSYy9uB8mh,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5opgQuq0KvuQeSYy9uB8mh.mp3,0.0,
148282486,spotify-track-5OtXiVJRQB30MBwohT9p0E,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5OtXiVJRQB30MBwohT9p0E.mp3,0.0,
232557487,spotify-track-5Qv9CmAHCWKs1okEFl6chK,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5Qv9CmAHCWKs1okEFl6chK.mp3,0.0,
190188043,spotify-track-5RXNhnDurxwCtlNcKpkJH5,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5RXNhnDurxwCtlNcKpkJH5.mp3,0.0,
126932065,spotify-track-5T0JTVzEhvQSuKMEhIAgxq,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5T0JTVzEhvQSuKMEhIAgxq.mp3,0.0,
74023881,spotify-track-5t7mrcp7SzQMnftbJdSSA1,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5t7mrcp7SzQMnftbJdSSA1.mp3,0.0,
243654333,spotify-track-5tAcMyimxLHhREVTPEuqXG,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5tAcMyimxLHhREVTPEuqXG.mp3,0.0,
15596216,spotify-track-5tF3YYyyDVqw8xsdJIws8r,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5tF3YYyyDVqw8xsdJIws8r.mp3,0.0,
89879914,spotify-track-5tJmoL5FkVTSfxGNx7eOzs,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5tJmoL5FkVTSfxGNx7eOzs.mp3,0.0,
170886167,spotify-track-5TSyStssRCBlvSnjzpnZWl,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5TSyStssRCBlvSnjzpnZWl.mp3,0.0,
59547442,spotify-track-5tYsWdLzwJYEGst6NOB3KS,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5tYsWdLzwJYEGst6NOB3KS.mp3,0.0,
179030559,spotify-track-5vJZbwVA84J98xBQHH9QCa,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5vJZbwVA84J98xBQHH9QCa.mp3,0.0,
